Symbol,Name,Sector,Market Cap
NTUS,Natus Medical Inc.,Health Care,Small Cap
NBTB,NBT Bancorp Inc.,Financials,Small Cap
NP,Neenah Inc.,Materials,Small Cap
NEO,NeoGenomics Laboratories Inc.,Health Care,Small Cap
NTGR,Netgear Inc.,Information Technology,Small Cap
NYMT,New York Mortgage Trust Inc.,Real Estate,Small Cap
NXRT,NexPoint Residential Trust Inc.,Real Estate,Small Cap
NXGN,NextGen Healthcare Inc.,Health Care,Small Cap
NMIH,NMI Holdings Inc.,Financials,Small Cap
NFBK,Northfield Bancorp Inc. (Staten Island NY),Financials,Small Cap
NWBI,Northwest Bancshares Inc.,Financials,Small Cap
DNOW,NOW Inc,Industrials,Small Cap
NWN,NW Natural,Utilities,Small Cap
OI,O-I Glass Inc.,Materials,Small Cap
OII,Oceaneering International Inc.,Energy,Small Cap
OPI,Office Properties Income Trust,Real Estate,Small Cap
OFG,OFG Bancorp,Financials,Small Cap
OIS,Oil States International Inc.,Energy,Small Cap
ONB,Old National Bancorp,Financials,Small Cap
ZEUS,Olympic Steel Inc.,Materials,Small Cap
OMCL,Omnicell Inc.,Health Care,Small Cap
OSPN,OneSpan Inc.,Information Technology,Small Cap
ONTO,Onto Innovation Inc.,Information Technology,Small Cap
OSUR,OraSure Technologies Inc.,Health Care,Small Cap
OFIX,Orthofix Medical Inc.,Health Care,Small Cap
OSIS,OSI Systems Inc.,Information Technology,Small Cap
OMI,Owens & Minor Inc.,Health Care,Small Cap
OXM,Oxford Industries Inc.,Consumer Discretionary,Small Cap
PPBI,Pacific Premier Bancorp Inc.,Financials,Small Cap
PCRX,Pacira BioSciences Inc.,Health Care,Small Cap
PLMR,Palomar Holdings Inc.,Financials,Small Cap
PARR,Par Pacific Holdings Inc.,Energy,Small Cap
PKE,Park Electrochemical Corp.,Industrials,Small Cap
PRK,Park National Corp.,Financials,Small Cap
PATK,Patrick Industries Inc.,Consumer Discretionary,Small Cap
PTEN,Patterson-UTI Energy Inc.,Energy,Small Cap
PBF,PBF Energy Inc.,Energy,Small Cap
CNXN,PC Connection Inc.,Information Technology,Small Cap
PDCE,PDC Energy Inc.,Energy,Small Cap
PDFS,PDF Solutions Inc.,Information Technology,Small Cap
PVAC,Penn Virginia Corporation,Energy,Small Cap
PNTG,Pennant Group Inc.,Health Care,Small Cap
PMT,PennyMac Mortgage Investment Trust,Real Estate,Small Cap
PRDO,Perdoceo Education Corp.,Consumer Discretionary,Small Cap
PRFT,Perficient Inc.,Information Technology,Small Cap
PETS,PetMed Express Inc.,Consumer Discretionary,Small Cap
PGTI,PGT Innovations Inc.,Industrials,Small Cap
PAHC,Phibro Animal Health Corp.,Health Care,Small Cap
PLAB,Photronics Inc.,Information Technology,Small Cap
PIPR,Piper Sandler Companies,Financials,Small Cap
PBI,Pitney Bowes Inc.,Industrials,Small Cap
PLT,Plantronics Inc.,Information Technology,Small Cap
PLXS,Plexus Corp.,Information Technology,Small Cap
POWL,Powell Industries Inc.,Industrials,Small Cap
POWI,Power Integrations Inc.,Information Technology,Small Cap
PRAA,PRA Group Inc.,Financials,Small Cap
PFBC,Preferred Bank,Financials,Small Cap
PBH,Prestige Consumer Healthcare,Health Care,Small Cap
PSMT,PriceSmart,Consumer Staples,Small Cap
PRA,ProAssurance Corporation,Financials,Small Cap
PRGS,Progress Software Corporation,Information Technology,Small Cap
PUMP,ProPetro Holding Corp.,Energy,Small Cap
PRLB,Protolabs,Industrials,Small Cap
PFS,Provident Financial Services Inc.,Financials,Small Cap
KWR,Quaker Chemical Corporation,Materials,Small Cap
NX,Quanex Building Products Corporation,Industrials,Small Cap
QNST,QuinStreet Inc.,Communication Services,Small Cap
RCM,R1 RCM Inc.,Health Care,Small Cap
RDNT,RadNet Inc.,Health Care,Small Cap
RMBS,Rambus Inc.,Information Technology,Small Cap
RPT,Ramco-Gershenson Properties Trust,Real Estate,Small Cap
RRC,Range Resources,Energy,Small Cap
RAVN,Raven Industries Inc.,Industrials,Small Cap
RYAM,Rayonier Advanced Materials Inc.,Materials,Small Cap
RMAX,RE/MAX Holdings Inc.,Real Estate,Small Cap
RC,Ready Capital Corp,Financials,Small Cap
RLGY,Realogy Holdings Corp.,Real Estate,Small Cap
RRGB,Red Robin Gourmet Burgers Inc.,Consumer Discretionary,Small Cap
RWT,Redwood Trust Inc.,Real Estate,Small Cap
RGNX,REGENXBIO Inc.,Health Care,Small Cap
RGS,Regis Corporation,Consumer Discretionary,Small Cap
RNST,Renasant Corp.,Financials,Small Cap
REGI,Renewable Energy Group Inc.,Energy,Small Cap
RCII,Rent-A-Center Inc.,Consumer Discretionary,Small Cap
REZI,Resideo Technologies Inc.,Industrials,Small Cap
RGP,Resources Connection Inc.,Industrials,Small Cap
ROIC,Retail Opportunity Investments Corp.,Real Estate,Small Cap
RPAI,Retail Properties of America Inc.,Real Estate,Small Cap
REX,REX American Resources Corporation,Energy,Small Cap
ROG,Rogers Corporation,Information Technology,Small Cap
RES,RPC Inc.,Energy,Small Cap
RUTH,Ruth's Hospitality Group,Consumer Discretionary,Small Cap
STBA,S&T Bancorp Inc.,Financials,Small Cap
SAFE,Safehold Inc.,Real Estate,Small Cap
SAFT,Safety Insurance Group Inc.,Financials,Small Cap
SAIA,Saia Inc.,Industrials,Small Cap
SBH,Sally Beauty Holdings Inc.,Consumer Discretionary,Small Cap
SANM,Sanmina Corporation,Information Technology,Small Cap
BFS,Saul Centers Inc.,Real Estate,Small Cap
SCSC,ScanSource Inc.,Information Technology,Small Cap
SCHL,Scholastic Corporation,Consumer Discretionary,Small Cap
SWM,Schweitzer-Mauduit International Inc.,Materials,Small Cap
