Symbol,Name,Sector,Market Cap
NOW,ServiceNow,Information Technology,Large Cap
SHW,Sherwin-Williams,Materials,Large Cap
SPG,Simon Property Group Inc,Real Estate,Large Cap
SWKS,Skyworks Solutions,Information Technology,Large Cap
SNA,Snap-on,Industrials,Large Cap
SO,Southern Company,Utilities,Large Cap
LUV,Southwest Airlines,Industrials,Large Cap
SWK,Stanley Black & Decker,Industrials,Large Cap
SBUX,Starbucks Corp.,Consumer Discretionary,Large Cap
STT,State Street Corp.,Financials,Large Cap
STE,Steris,Health Care,Large Cap
SYK,Stryker Corp.,Health Care,Large Cap
SIVB,SVB Financial,Financials,Large Cap
SYF,Synchrony Financial,Financials,Large Cap
SNPS,Synopsys Inc.,Information Technology,Large Cap
SYY,Sysco Corp.,Consumer Staples,Large Cap
TMUS,T-Mobile US,Communication Services,Large Cap
TROW,T. Rowe Price Group,Financials,Large Cap
TTWO,Take-Two Interactive,Communication Services,Large Cap
TPR,Tapestry Inc.,Consumer Discretionary,Large Cap
TGT,Target Corp.,Consumer Discretionary,Large Cap
TEL,TE Connectivity Ltd.,Information Technology,Large Cap
TDY,Teledyne Technologies,Industrials,Large Cap
TFX,Teleflex,Health Care,Large Cap
TER,Teradyne,Information Technology,Large Cap
TSLA,Tesla Inc.,Consumer Discretionary,Large Cap
TXN,Texas Instruments,Information Technology,Large Cap
TXT,Textron Inc.,Industrials,Large Cap
BK,The Bank of New York Mellon,Financials,Large Cap
CLX,The Clorox Company,Consumer Staples,Large Cap
COO,The Cooper Companies,Health Care,Large Cap
HSY,The Hershey Company,Consumer Staples,Large Cap
MOS,The Mosaic Company,Materials,Large Cap
TRV,The Travelers Companies,Financials,Large Cap
DIS,The Walt Disney Company,Communication Services,Large Cap
TMO,Thermo Fisher Scientific,Health Care,Large Cap
TJX,TJX Companies Inc.,Consumer Discretionary,Large Cap
TSCO,Tractor Supply Company,Consumer Discretionary,Large Cap
TT,Trane Technologies plc,Industrials,Large Cap
TDG,TransDigm Group,Industrials,Large Cap
TRMB,Trimble Inc.,Information Technology,Large Cap
TFC,Truist Financial,Financials,Large Cap
TWTR,Twitter Inc.,Communication Services,Large Cap
TYL,Tyler Technologies,Information Technology,Large Cap
TSN,Tyson Foods,Consumer Staples,Large Cap
USB,U.S. Bancorp,Financials,Large Cap
UDR,UDR Inc.,Real Estate,Large Cap
ULTA,Ulta Beauty,Consumer Discretionary,Large Cap
UAA,Under Armour (Class A),Consumer Discretionary,Large Cap
UA,Under Armour (Class C),Consumer Discretionary,Large Cap
UNP,Union Pacific Corp,Industrials,Large Cap
UAL,United Airlines Holdings,Industrials,Large Cap
UPS,United Parcel Service,Industrials,Large Cap
URI,United Rentals Inc.,Industrials,Large Cap
UNH,UnitedHealth Group Inc.,Health Care,Large Cap
UHS,Universal Health Services,Health Care,Large Cap
UNM,Unum Group,Financials,Large Cap
VLO,Valero Energy,Energy,Large Cap
