Symbol,Name,Sector,Market Cap
STL,Sterling Bancorp,Financials,Mid Cap
SF,Stifel Financial Corp,Financials,Mid Cap
STOR,Store Capital Corp,Real Estate,Mid Cap
STRA,Strategic Education Inc.,Consumer Discretionary,Mid Cap
RUN,Sunrun,Industrials,Mid Cap
SYNA,Synaptics,Information Technology,Mid Cap
SYNH,Syneos Health,Health Care,Mid Cap
SNX,SYNNEX Corporation,Information Technology,Mid Cap
SNV,Synovus Financial Corp (GA),Financials,Mid Cap
TMHC,Taylor Morrison Home Corp,Consumer Discretionary,Mid Cap
TCF,TCF Financial Corporation,Financials,Mid Cap
TGNA,Tegna Inc.,Communication Services,Mid Cap
TDS,Telephone and Data Systems,Communication Services,Mid Cap
TPX,Tempur Sealy International,Consumer Discretionary,Mid Cap
THC,Tenet Healthcare Corp,Health Care,Mid Cap
TDC,Teradata,Information Technology,Mid Cap
TEX,Terex Corp,Industrials,Mid Cap
TTEK,Tetra Tech,Industrials,Mid Cap
TCBI,Texas Capital Bancshares,Financials,Mid Cap
TXRH,Texas Roadhouse,Consumer Discretionary,Mid Cap
THO,Thor Industries Inc,Consumer Discretionary,Mid Cap
TKR,Timken Co,Industrials,Mid Cap
TOL,Toll Brothers Inc,Consumer Discretionary,Mid Cap
TR,Tootsie Roll Industries Inc,Consumer Staples,Mid Cap
BLD,TopBuild Corp,Consumer Discretionary,Mid Cap
TTC,Toro Company,Industrials,Mid Cap
TNL,Travel + Leisure Co.,Consumer Discretionary,Mid Cap
THS,TreeHouse Foods,Consumer Staples,Mid Cap
TREX,Trex Company Inc.,Industrials,Mid Cap
TPH,TRI Pointe Group,Consumer Discretionary,Mid Cap
TRN,Trinity Industries Inc,Industrials,Mid Cap
TRIP,TripAdvisor,Communication Services,Mid Cap
TRMK,Trustmark Corp (MS),Financials,Mid Cap
UGI,UGI Corp,Utilities,Mid Cap
UMBF,UMB Financial Corp.,Financials,Mid Cap
UMPQ,Umpqua Holdings Corporation,Financials,Mid Cap
UBSI,United Bankshares Inc,Financials,Mid Cap
X,United States Steel Corporation,Materials,Mid Cap
UTHR,United Therapeutics Corp,Health Care,Mid Cap
UNVR,Univar Solutions,Industrials,Mid Cap
OLED,Universal Display Corporation,Information Technology,Mid Cap
UE,Urban Edge Properties,Real Estate,Mid Cap
URBN,Urban Outfitters,Consumer Discretionary,Mid Cap
VLY,Valley National Bancorp,Financials,Mid Cap
VMI,Valmont Industries Inc,Industrials,Mid Cap
VVV,Valvoline Inc,Materials,Mid Cap
VSAT,ViaSat Inc,Information Technology,Mid Cap
VSH,Vishay Intertechnology Inc,Information Technology,Mid Cap
VC,Visteon,Consumer Discretionary,Mid Cap
VNT,Vontier,Information Technology,Mid Cap
WAFD,Washington Federal Inc.,Financials,Mid Cap
WSO,Watsco Inc,Industrials,Mid Cap
WBS,Webster Financial Corp (CT),Financials,Mid Cap
WW,Weight Watchers,Consumer Discretionary,Mid Cap
WRI,Weingarten Realty Investors,Real Estate,Mid Cap
WEN,Wendy's Company,Consumer Discretionary,Mid Cap
WERN,Werner Enterprises Inc,Industrials,Mid Cap
WEX,WEX Inc.,Information Technology,Mid Cap
WSM,Williams-Sonoma Inc,Consumer Discretionary,Mid Cap
WING,Wingstop,Consumer Discretionary,Mid Cap
WTFC,Wintrust Financial Corp,Financials,Mid Cap
WWD,Woodward Inc,Industrials,Mid Cap
INT,World Fuel Services Corp,Energy,Mid Cap
WWE,World Wrestling Entertainment,Communication Services,Mid Cap
WOR,Worthington Industries,Materials,Mid Cap
WH,Wyndham Hotels and Resorts,Consumer Discretionary,Mid Cap
XRX,Xerox,Information Technology,Mid Cap
XPO,XPO Logistics,Industrials,Mid Cap
YELP,Yelp,Communication Services,Mid Cap
